playerNr,groupNr,subjectNr,period,treatment,relevant,t2_correcttexts,t2_numseq,t2_answer,tediousness,test,wta11,wta12,wta13,wta14,wta15,wta16,wta17,wta18,wta19,wta110,wta111,wta112,wta113,wta114,wta115,wta116,wta21,wta22,wta23,wta24,wta25,wta26,wta27,wta28,wta29,wta210,wta211,wta212,wta213,wta214,wta215,wta216,pchosen,optionchosen,extra,scenario,rel,totaltask,vchosen,gender,age,bonus,total,time_welcome,time_instructions_pre,time_encryption_task,time_questionnaire1,time_task_preparation,time_questionnaire2,time_encryption_main_task,time_summary,session_date
13,0,0,1,1,13,30,36,NA,8,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.25,2,15,1,13,30,7.25,1,23,7.25,9.25,7,37,117,12,56,6,1217,12,2020-01-22T08:39:00Z
14,0,0,1,2,14,15,16,NA,10,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7.5,2,15,1,14,15,7.5,1,51,7.5,9.5,6,35,169,9,32,7,942,17,2020-01-22T08:39:00Z
15,0,0,1,3,15,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z
16,0,0,1,4,16,30,33,NA,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,8,2,15,1,16,30,8,2,29,8,10,91,394,108,26,79,11,952,28,2020-01-22T08:39:00Z
17,0,0,1,5,17,30,35,NA,10,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4.25,1,15,2,1,30,4,1,40,4,6,6,8,77,6,12,6,785,14,2020-01-22T08:39:00Z
18,0,0,1,6,18,13,20,NA,8,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4.5,1,15,2,2,30,4,NA,NA,NA,NA,27,43,326,9,9,NA,NA,40,2020-01-22T08:39:00Z
19,0,0,1,1,19,30,38,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4.75,1,15,2,3,30,4,1,23,4,6,22,175,135,9,32,9,1299,35,2020-01-22T08:39:00Z
20,0,0,1,2,20,15,17,NA,7,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,1,15,2,4,15,4,1,49,4,6,61,24,119,21,36,6,580,22,2020-01-22T08:39:00Z
21,0,0,1,3,21,30,33,NA,10,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.25,1,15,2,5,30,6,2,51,6,8,8,50,147,11,35,26,1228,19,2020-01-22T08:39:00Z
22,0,0,1,4,22,30,39,NA,9,2,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,1,15,2,6,30,4,1,28,4,6,19,156,346,7,13,12,1878,29,2020-01-22T08:39:00Z
23,0,0,1,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z
24,0,0,1,6,24,45,51,NA,9,1,1,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,6,2,30,2,8,45,6,1,28,6,8,10,4,618,8,14,19,1972,19,2020-01-22T08:39:00Z
25,0,0,1,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33,NA,2,NA,NA,NA,NA,NA,12,7,NA,2020-01-22T08:39:00Z
26,0,0,1,2,26,30,34,NA,7,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,6.5,2,30,2,10,30,6.5,2,27,6.5,8.5,5,19,219,28,150,10,1914,284,2020-01-22T08:39:00Z
27,0,0,1,3,27,30,31,NA,9,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6.75,1,15,2,11,30,6,2,46,6,8,19,124,114,16,28,6,1415,30,2020-01-22T08:39:00Z
28,0,0,1,4,28,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z
29,0,0,1,5,29,45,51,NA,8,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,7.25,2,30,2,13,45,7.25,1,29,7.25,9.25,23,512,120,13,13,5,1444,13,2020-01-22T08:39:00Z
30,0,0,1,6,30,30,31,NA,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.5,1,15,2,14,30,4,1,27,4,6,199,6,162,9,14,8,1283,24,2020-01-22T08:39:00Z
1,0,0,1,1,1,15,17,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25,1,0,1,1,15,4,1,38,4,6,6,11,129,8,44,5,475,20,2020-01-28T16:17:00Z
2,0,0,1,2,2,15,18,NA,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.5,2,15,1,2,15,4.5,1,31,4.5,6.5,2,3,357,4,26,7,773,11,2020-01-28T16:17:00Z
3,0,0,1,3,3,15,20,NA,7,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.75,1,0,1,3,15,6,1,26,6,8,4,18,122,9,24,5,858,15,2020-01-28T16:17:00Z
4,0,0,1,4,4,30,34,NA,4,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,15,1,4,30,5,2,46,5,7,44,23,85,12,25,8,817,32,2020-01-28T16:17:00Z
5,0,0,1,5,5,15,25,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.25,1,0,1,5,15,4,2,58,4,6,5,16,373,10,29,7,1023,16,2020-01-28T16:17:00Z
6,0,0,1,6,6,30,35,NA,9,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,5.5,2,15,1,6,30,5.5,2,30,5.5,7.5,17,8,313,9,9,9,1483,41,2020-01-28T16:17:00Z
7,0,0,1,1,7,30,32,NA,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,5.75,2,15,1,7,30,5.75,1,25,5.75,7.75,10,106,157,23,17,5,1102,24,2020-01-28T16:17:00Z
8,0,0,1,2,8,0,1,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,1,8,0,4,1,28,4,6,33,629,176,8,9,10,7,36,2020-01-28T16:17:00Z
9,0,0,1,3,9,30,33,NA,6,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,6.25,2,15,1,9,30,8.25,1,29,8.25,10.25,19,48,149,17,42,8,959,28,2020-01-28T16:17:00Z
10,0,0,1,4,10,30,31,NA,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6.5,2,15,1,10,30,6.5,1,28,6.5,8.5,17,34,278,10,31,6,923,16,2020-01-28T16:17:00Z
11,0,0,1,5,11,15,20,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6.75,1,0,1,11,15,4,1,29,4,6,8,36,223,10,43,6,849,16,2020-01-28T16:17:00Z
12,0,0,1,6,12,0,1,NA,6,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,693,6,5,NA,NA,167,2020-01-28T16:17:00Z
13,0,0,1,1,13,15,18,NA,5,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.25,1,0,1,13,15,4,2,37,4,6,25,38,197,14,37,11,932,47,2020-01-28T16:17:00Z
14,0,0,1,2,14,11,14,NA,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7.5,2,15,1,14,15,7.5,NA,NA,NA,NA,136,161,178,23,82,NA,NA,68,2020-01-28T16:17:00Z
15,0,0,1,3,15,30,31,NA,8,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7.75,2,15,1,15,30,9.75,2,53,9.75,11.75,48,14,105,11,33,14,897,35,2020-01-28T16:17:00Z
16,0,0,1,4,16,15,21,NA,10,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,0,1,16,15,4,1,30,4,6,61,6,227,6,25,9,1355,50,2020-01-28T16:17:00Z
17,0,0,1,5,17,30,32,NA,9,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4.25,1,15,2,1,30,4,1,32,4,6,4,4,147,6,18,8,1295,12,2020-01-28T16:17:00Z
18,0,0,1,6,18,30,49,NA,8,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,4.5,1,15,2,2,30,4,1,30,4,6,8,6,163,7,5,7,1481,28,2020-01-28T16:17:00Z
19,0,0,1,1,19,30,37,NA,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.75,1,15,2,3,30,4,2,63,4,6,820,83,248,15,48,12,2724,31,2020-01-28T16:17:00Z
20,0,0,1,2,20,30,31,NA,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,30,2,4,30,5,1,40,5,7,50,73,117,15,39,9,1349,46,2020-01-28T16:17:00Z
21,0,0,1,3,21,13,18,NA,6,NA,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,5.25,2,30,2,5,45,7.25,NA,NA,NA,NA,28,56,187,9,24,NA,NA,44,2020-01-28T16:17:00Z
22,0,0,1,4,22,45,66,NA,10,NA,2,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,1,5.5,2,30,2,6,45,5.5,1,30,5.5,7.5,14,18,311,6,12,10,2217,91,2020-01-28T16:17:00Z
23,0,0,1,5,23,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,15,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
24,0,0,1,6,24,45,54,NA,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,30,2,8,45,6,1,41,6,8,38,18,87,6,7,8,1355,51,2020-01-28T16:17:00Z
25,0,0,1,1,25,30,33,NA,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6.25,1,15,2,9,30,4,1,32,4,6,23,31,134,15,42,9,931,30,2020-01-28T16:17:00Z
26,0,0,1,2,26,15,19,NA,7,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,6.5,1,15,2,10,15,4,1,30,4,6,8,30,163,10,15,9,1112,32,2020-01-28T16:17:00Z
27,0,0,1,3,27,38,43,NA,10,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,6.75,2,30,2,11,45,8.75,NA,NA,NA,NA,3,5,172,3,16,NA,NA,16,2020-01-28T16:17:00Z
28,0,0,1,4,28,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,8,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
29,0,0,1,5,29,30,38,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.25,1,15,2,13,30,4,2,34,4,6,6,14,132,14,11,9,1150,16,2020-01-28T16:17:00Z
30,0,0,1,6,30,0,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,10,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
31,0,0,1,1,31,45,48,NA,6,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,7.75,2,30,2,15,45,7.75,1,28,7.75,9.75,48,6,275,14,5,12,2060,33,2020-01-28T16:17:00Z
32,0,0,1,2,32,30,31,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,2,30,2,16,30,8,1,32,8,10,9,10,196,10,6,16,1111,57,2020-01-28T16:17:00Z
33,0,0,1,3,1,15,17,NA,9,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,1,4.25,1,0,1,1,15,6,1,28,6,8,34,7,2240,9,18,9,1812,196,2020-01-28T16:17:00Z
34,0,0,1,4,2,15,20,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,0,1,2,15,4,1,30,4,6,1482,6,151,4,4,12,1163,34,2020-01-28T16:17:00Z
35,0,0,1,5,3,15,18,NA,7,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4.75,1,0,1,3,15,4,2,43,4,6,22,105,191,18,24,6,771,18,2020-01-28T16:17:00Z
36,0,0,1,6,4,15,16,NA,8,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,1,0,1,4,15,4,2,56,4,6,11,46,160,8,25,6,457,15,2020-01-28T16:17:00Z
37,0,0,1,1,5,15,19,NA,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5.25,1,0,1,5,15,4,1,30,4,6,13,60,125,16,58,6,490,23,2020-01-28T16:17:00Z
38,0,0,1,2,6,0,1,NA,9,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5.5,1,0,1,6,0,4,1,52,4,6,17,18,107,9,22,8,4,14,2020-01-28T16:17:00Z
39,0,0,1,3,7,15,28,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.75,1,0,1,7,15,6,1,30,6,8,12,8,145,6,12,7,684,44,2020-01-28T16:17:00Z
40,0,0,1,4,8,30,36,NA,8,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,6,2,15,1,8,30,6,2,40,6,8,17,33,303,7,7,9,1543,26,2020-01-28T16:17:00Z
41,0,0,1,5,9,30,37,NA,1,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.25,2,15,1,9,30,6.25,2,27,6.25,8.25,14,35,214,8,37,7,1771,22,2020-01-28T16:17:00Z
42,0,0,1,6,10,15,18,NA,9,NA,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,6.5,1,0,1,10,15,4,1,28,4,6,16,134,558,8,19,12,1076,40,2020-01-28T16:17:00Z
43,0,0,1,1,11,30,31,NA,6,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6.75,2,15,1,11,30,6.75,1,33,6.75,8.75,16,35,107,9,29,6,1000,23,2020-01-28T16:17:00Z
44,0,0,1,2,12,15,16,NA,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7,2,15,1,12,15,7,1,29,7,9,36,73,193,66,55,12,688,52,2020-01-28T16:17:00Z
45,0,0,1,3,13,15,16,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.25,1,0,1,13,15,6,2,48,6,8,5,33,93,9,28,7,562,11,2020-01-28T16:17:00Z
46,0,0,1,4,14,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
47,0,0,1,5,15,30,34,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,7.75,2,15,1,15,30,7.75,2,25,7.75,9.75,5,39,104,17,20,6,1326,20,2020-01-28T16:17:00Z
48,0,0,1,6,16,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
49,0,0,1,1,17,45,52,NA,3,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.25,2,30,2,1,45,4.25,2,32,4.25,6.25,8,56,155,14,33,4,4044,21,2020-01-28T16:17:00Z
50,0,0,1,2,18,30,36,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,4.5,2,30,2,2,30,4.5,1,30,4.5,6.5,40,35,177,10,38,9,1765,37,2020-01-28T16:17:00Z
51,0,0,1,3,19,45,61,NA,8,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,4.75,2,30,2,3,45,6.75,1,38,6.75,8.75,10,91,410,5,11,8,2001,50,2020-01-28T16:17:00Z
52,0,0,1,4,20,45,52,NA,10,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,30,2,4,45,5,2,41,5,7,14,49,140,8,36,8,1878,18,2020-01-28T16:17:00Z
53,0,0,1,5,21,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
54,0,0,1,6,22,30,31,NA,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5.5,1,15,2,6,30,4,1,56,4,6,21,48,165,8,25,5,988,14,2020-01-28T16:17:00Z
55,0,0,1,1,23,30,35,NA,3,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5.75,1,15,2,7,30,4,1,26,4,6,34,8,166,5,28,4,1030,17,2020-01-28T16:17:00Z
56,0,0,1,2,24,15,17,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6,1,15,2,8,15,4,1,24,4,6,5,15,294,10,12,4,572,11,2020-01-28T16:17:00Z
57,0,0,1,3,25,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
58,0,0,1,4,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,16,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
59,0,0,1,5,27,30,33,NA,7,NA,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,6.75,1,15,2,11,30,4,1,35,4,6,17,25,194,12,5,9,2250,29,2020-01-28T16:17:00Z
60,0,0,1,6,28,45,57,NA,9,1,1,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,7,2,30,2,12,45,7,2,35,7,9,21,8,208,6,8,5,1756,17,2020-01-28T16:17:00Z
61,0,0,1,1,29,45,49,NA,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.25,2,30,2,13,45,7.25,2,30,7.25,9.25,6,14,205,7,6,7,3039,36,2020-01-28T16:17:00Z
62,0,0,1,2,30,15,16,NA,9,2,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,7.5,1,15,2,14,15,4,1,39,4,6,77,67,610,9,15,12,891,57,2020-01-28T16:17:00Z
63,0,0,1,3,31,2,127,NA,10,2,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,7.75,2,30,2,15,45,9.75,NA,NA,NA,NA,181,148,289,16,24,NA,NA,248,2020-01-28T16:17:00Z
64,0,0,1,4,32,45,50,NA,2,NA,2,1,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,8,2,30,2,16,45,8,2,40,8,10,165,229,154,42,31,15,2103,31,2020-01-28T16:17:00Z
65,0,0,1,5,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,8,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
66,0,0,1,6,2,30,39,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.5,2,15,1,2,30,4.5,2,41,4.5,6.5,26,77,152,15,26,9,1163,21,2020-01-28T16:17:00Z
67,0,0,1,1,3,15,16,NA,7,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4.75,1,0,1,3,15,4,1,36,4,6,28,81,176,18,58,6,701,21,2020-01-28T16:17:00Z
68,0,0,1,2,4,15,18,NA,10,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,5,2,15,1,4,15,5,2,31,5,7,7,6,257,10,17,9,771,37,2020-01-28T16:17:00Z
69,0,0,1,3,5,15,16,NA,7,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,5.25,1,0,1,5,15,6,1,39,6,8,88,86,222,8,12,14,888,53,2020-01-28T16:17:00Z
70,0,0,1,4,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,6,NA,NA,NA,NA,NA,NA,2020-01-28T16:17:00Z
71,0,0,1,5,7,30,33,NA,2,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5.75,2,15,1,7,30,5.75,1,58,5.75,7.75,28,33,173,17,37,12,1122,25,2020-01-28T16:17:00Z
72,0,0,1,6,8,15,17,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6,1,0,1,8,15,4,1,56,4,6,10,19,356,13,34,8,1560,77,2020-01-28T16:17:00Z
