pid,scenario,treatment,switching_point,inconsistent_choices,relevant,tediousness,test,pchosen,optionchosen,extra,scenariochosen,totaltask,vchosen,gender,age,total,time_welcome,time_instructions_pre,time_encryption_task,time_questionnaire1,time_task_preparation,time_questionnaire2,time_encryption_main_task,time_summary,session_date,reservation_wage
333,Scenario1,NARROW,12,0,24,7,1,6,1,15,2,30,4,Male,35,6,28,7,95,10,7,4,1078,15,2019-12-21T08:34:00Z,3
333,Scenario2,NARROW,17,0,24,7,1,6,1,15,2,30,4,Male,35,6,28,7,95,10,7,4,1078,15,2019-12-21T08:34:00Z,4.25
334,Scenario1,NARROW,17,0,26,10,NA,6.5,1,15,2,30,4,Female,55,6,15,49,120,8,37,6,1382,20,2019-12-21T08:34:00Z,4.25
334,Scenario2,NARROW,17,0,26,10,NA,6.5,1,15,2,30,4,Female,55,6,15,49,120,8,37,6,1382,20,2019-12-21T08:34:00Z,4.25
335,Scenario1,NARROW,1,0,27,7,2,6.75,2,30,2,45,6.75,Male,32,8.75,11,36,84,13,20,7,1376,22,2019-12-21T08:34:00Z,0.25
335,Scenario2,NARROW,4,0,27,7,2,6.75,2,30,2,45,6.75,Male,32,8.75,11,36,84,13,20,7,1376,22,2019-12-21T08:34:00Z,1
336,Scenario1,NARROW,6,0,28,10,1,7,2,30,2,45,7,Female,34,9,35,41,91,11,31,9,1310,29,2019-12-21T08:34:00Z,1.5
336,Scenario2,NARROW,8,0,28,10,1,7,2,30,2,45,7,Female,34,9,35,41,91,11,31,9,1310,29,2019-12-21T08:34:00Z,2
337,Scenario1,NARROW,4,0,29,10,2,7.25,2,30,2,45,7.25,Male,32,9.25,11,19,103,8,26,3,1591,19,2019-12-21T08:34:00Z,1
337,Scenario2,NARROW,6,0,29,10,2,7.25,2,30,2,45,7.25,Male,32,9.25,11,19,103,8,26,3,1591,19,2019-12-21T08:34:00Z,1.5
338,Scenario1,NARROW,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
338,Scenario2,NARROW,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
339,Scenario1,NARROW,1,0,31,4,2,7.75,2,30,2,45,7.75,Male,24,9.75,8,24,77,8,29,4,1334,21,2019-12-21T08:34:00Z,0.25
339,Scenario2,NARROW,4,0,31,4,2,7.75,2,30,2,45,7.75,Male,24,9.75,8,24,77,8,29,4,1334,21,2019-12-21T08:34:00Z,1
340,Scenario1,NARROW,17,0,32,10,1,8,2,30,2,45,8,Male,43,10,18,41,133,10,37,6,1499,26,2019-12-21T08:34:00Z,4.25
340,Scenario2,NARROW,16,0,32,10,1,8,2,30,2,45,8,Male,43,10,18,41,133,10,37,6,1499,26,2019-12-21T08:34:00Z,4
341,Scenario1,NARROW,16,0,1,9,1,4.25,1,0,1,15,4,Female,29,6,18,16,135,8,26,5,362,18,2019-12-21T08:34:00Z,4
341,Scenario2,NARROW,17,0,1,9,1,4.25,1,0,1,15,4,Female,29,6,18,16,135,8,26,5,362,18,2019-12-21T08:34:00Z,4.25
342,Scenario1,NARROW,4,0,2,10,2,4.5,1,0,1,15,4,Male,28,6,4,14,131,10,9,4,522,15,2019-12-21T08:34:00Z,1
342,Scenario2,NARROW,5,0,2,10,2,4.5,1,0,1,15,4,Male,28,6,4,14,131,10,9,4,522,15,2019-12-21T08:34:00Z,1.25
343,Scenario1,NARROW,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
343,Scenario2,NARROW,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
344,Scenario1,NARROW,1,6,4,5,1,5,2,15,1,30,5,Male,24,7,5,26,272,7,6,13,3799,66,2019-12-21T08:34:00Z,0.25
344,Scenario2,NARROW,2,5,4,5,1,5,2,15,1,30,5,Male,24,7,5,26,272,7,6,13,3799,66,2019-12-21T08:34:00Z,0.5
345,Scenario1,NARROW,17,0,5,10,1,5.25,1,0,1,15,4,Male,26,6,23,8,1048,9,7,9,756,60,2019-12-21T08:34:00Z,4.25
345,Scenario2,NARROW,3,3,5,10,1,5.25,1,0,1,15,4,Male,26,6,23,8,1048,9,7,9,756,60,2019-12-21T08:34:00Z,0.75
346,Scenario1,NARROW,8,0,6,10,NA,5.5,1,0,1,15,4,Male,39,6,13,32,88,15,26,8,368,18,2019-12-21T08:34:00Z,2
346,Scenario2,NARROW,8,0,6,10,NA,5.5,1,0,1,15,4,Male,39,6,13,32,88,15,26,8,368,18,2019-12-21T08:34:00Z,2
347,Scenario1,NARROW,4,0,7,8,1,5.75,2,15,1,30,5.75,Female,28,7.75,8,31,165,8,37,8,2021,49,2019-12-21T08:34:00Z,1
347,Scenario2,NARROW,8,0,7,8,1,5.75,2,15,1,30,5.75,Female,28,7.75,8,31,165,8,37,8,2021,49,2019-12-21T08:34:00Z,2
348,Scenario1,NARROW,4,0,8,4,1,6,2,15,1,30,6,Female,24,8,77,52,134,14,69,10,1401,45,2019-12-21T08:34:00Z,1
348,Scenario2,NARROW,8,0,8,4,1,6,2,15,1,30,6,Female,24,8,77,52,134,14,69,10,1401,45,2019-12-21T08:34:00Z,2
349,Scenario1,NARROW,8,0,9,4,NA,6.25,2,15,1,30,6.25,Male,31,8.25,6,154,118,12,89,6,1655,18,2019-12-21T08:34:00Z,2
349,Scenario2,NARROW,14,0,9,4,NA,6.25,2,15,1,30,6.25,Male,31,8.25,6,154,118,12,89,6,1655,18,2019-12-21T08:34:00Z,3.5
350,Scenario1,NARROW,8,0,10,1,2,6.5,2,15,1,30,6.5,Male,24,8.5,2085,14,124,6,30,9,1205,17,2019-12-21T08:34:00Z,2
350,Scenario2,NARROW,12,0,10,1,2,6.5,2,15,1,30,6.5,Male,24,8.5,2085,14,124,6,30,9,1205,17,2019-12-21T08:34:00Z,3
351,Scenario1,NARROW,12,0,11,7,1,6.75,1,0,1,15,4,Male,33,6,7,25,135,7,34,6,763,27,2019-12-21T08:34:00Z,3
351,Scenario2,NARROW,16,0,11,7,1,6.75,1,0,1,15,4,Male,33,6,7,25,135,7,34,6,763,27,2019-12-21T08:34:00Z,4
352,Scenario1,NARROW,1,0,12,3,NA,7,2,15,1,30,7,Male,31,9,9,12,286,21,39,12,1138,40,2019-12-21T08:34:00Z,0.25
352,Scenario2,NARROW,14,0,12,3,NA,7,2,15,1,30,7,Male,31,9,9,12,286,21,39,12,1138,40,2019-12-21T08:34:00Z,3.5
353,Scenario1,NARROW,17,0,13,10,1,7.25,1,0,1,15,4,NA,NA,NA,14,10,122,12,25,NA,NA,15,2019-12-21T08:34:00Z,4.25
353,Scenario2,NARROW,17,0,13,10,1,7.25,1,0,1,15,4,NA,NA,NA,14,10,122,12,25,NA,NA,15,2019-12-21T08:34:00Z,4.25
354,Scenario1,NARROW,2,5,14,10,2,7.5,1,0,1,15,4,Male,26,6,32,19,378,71,59,25,1370,34,2019-12-21T08:34:00Z,0.5
354,Scenario2,NARROW,2,6,14,10,2,7.5,1,0,1,15,4,Male,26,6,32,19,378,71,59,25,1370,34,2019-12-21T08:34:00Z,0.5
355,Scenario1,NARROW,12,0,15,4,NA,7.75,2,15,1,30,7.75,Male,36,9.75,13,67,151,13,27,8,726,16,2019-12-21T08:34:00Z,3
355,Scenario2,NARROW,17,0,15,4,NA,7.75,2,15,1,30,7.75,Male,36,9.75,13,67,151,13,27,8,726,16,2019-12-21T08:34:00Z,4.25
356,Scenario1,NARROW,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
356,Scenario2,NARROW,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
357,Scenario1,NARROW,6,0,17,10,1,4.25,1,15,2,30,4,NA,NA,NA,3,11,127,5,43,NA,NA,18,2019-12-21T08:34:00Z,1.5
357,Scenario2,NARROW,11,0,17,10,1,4.25,1,15,2,30,4,NA,NA,NA,3,11,127,5,43,NA,NA,18,2019-12-21T08:34:00Z,2.75
358,Scenario1,NARROW,6,0,18,9,1,4.5,1,15,2,30,4,Female,33,6,280,8,172,9,22,5,1252,14,2019-12-21T08:34:00Z,1.5
358,Scenario2,NARROW,12,0,18,9,1,4.5,1,15,2,30,4,Female,33,6,280,8,172,9,22,5,1252,14,2019-12-21T08:34:00Z,3
359,Scenario1,NARROW,17,0,19,3,1,4.75,1,15,2,30,4,NA,NA,NA,8,21,103,8,14,NA,NA,19,2019-12-21T08:34:00Z,4.25
359,Scenario2,NARROW,17,0,19,3,1,4.75,1,15,2,30,4,NA,NA,NA,8,21,103,8,14,NA,NA,19,2019-12-21T08:34:00Z,4.25
360,Scenario1,NARROW,4,0,20,8,NA,5,1,15,2,30,4,Female,46,6,157,31,160,11,24,9,1476,25,2019-12-21T08:34:00Z,1
360,Scenario2,NARROW,17,0,20,8,NA,5,1,15,2,30,4,Female,46,6,157,31,160,11,24,9,1476,25,2019-12-21T08:34:00Z,4.25
361,Scenario1,NARROW,16,0,21,9,2,5.25,1,15,2,30,4,Female,27,6,9,692,114,7,16,7,1335,89,2019-12-21T08:34:00Z,4
361,Scenario2,NARROW,17,0,21,9,2,5.25,1,15,2,30,4,Female,27,6,9,692,114,7,16,7,1335,89,2019-12-21T08:34:00Z,4.25
362,Scenario1,NARROW,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
362,Scenario2,NARROW,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
363,Scenario1,NARROW,16,0,23,4,NA,5.75,1,15,2,30,4,Male,33,6,15,96,170,15,26,9,1355,143,2019-12-21T08:34:00Z,4
363,Scenario2,NARROW,17,0,23,4,NA,5.75,1,15,2,30,4,Male,33,6,15,96,170,15,26,9,1355,143,2019-12-21T08:34:00Z,4.25
364,Scenario1,NARROW,4,0,24,8,NA,6,2,30,2,45,6,Female,25,8,913,43,84,13,50,5,2014,24,2019-12-21T08:34:00Z,1
364,Scenario2,NARROW,5,0,24,8,NA,6,2,30,2,45,6,Female,25,8,913,43,84,13,50,5,2014,24,2019-12-21T08:34:00Z,1.25
365,Scenario1,NARROW,10,0,25,5,1,6.25,1,15,2,30,4,Female,50,6,76,46,115,15,29,6,1335,27,2019-12-21T08:34:00Z,2.5
365,Scenario2,NARROW,15,0,25,5,1,6.25,1,15,2,30,4,Female,50,6,76,46,115,15,29,6,1335,27,2019-12-21T08:34:00Z,3.75
366,Scenario1,NARROW,8,0,26,10,1,6.5,1,15,2,30,4,Male,32,6,485,113,291,7,37,4,3653,20,2019-12-21T08:34:00Z,2
366,Scenario2,NARROW,16,0,26,10,1,6.5,1,15,2,30,4,Male,32,6,485,113,291,7,37,4,3653,20,2019-12-21T08:34:00Z,4
367,Scenario1,NARROW,17,0,27,10,1,6.75,1,15,2,30,4,NA,NA,NA,457,1189,474,7,30,NA,NA,26,2019-12-21T08:34:00Z,4.25
367,Scenario2,NARROW,17,0,27,10,1,6.75,1,15,2,30,4,NA,NA,NA,457,1189,474,7,30,NA,NA,26,2019-12-21T08:34:00Z,4.25
368,Scenario1,NARROW,2,2,28,9,1,7,2,30,2,45,7,NA,NA,NA,5,32,357,11,15,NA,NA,32,2019-12-21T08:34:00Z,0.5
368,Scenario2,NARROW,4,3,28,9,1,7,2,30,2,45,7,NA,NA,NA,5,32,357,11,15,NA,NA,32,2019-12-21T08:34:00Z,1
369,Scenario1,NARROW,4,0,29,10,NA,7.25,2,30,2,45,7.25,Female,35,9.25,15,47,91,12,39,7,1135,23,2019-12-21T08:34:00Z,1
369,Scenario2,NARROW,9,0,29,10,NA,7.25,2,30,2,45,7.25,Female,35,9.25,15,47,91,12,39,7,1135,23,2019-12-21T08:34:00Z,2.25
370,Scenario1,NARROW,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,12,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
370,Scenario2,NARROW,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,12,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z,NA
371,Scenario1,NARROW,12,0,31,8,1,7.75,1,15,2,30,4,Male,30,6,8,22,92,7,16,4,942,16,2019-12-21T08:34:00Z,3
371,Scenario2,NARROW,16,0,31,8,1,7.75,1,15,2,30,4,Male,30,6,8,22,92,7,16,4,942,16,2019-12-21T08:34:00Z,4
372,Scenario1,NARROW,1,0,32,9,2,8,2,30,2,45,8,Female,27,10,13,242,222,10,20,8,5360,28,2019-12-21T08:34:00Z,0.25
372,Scenario2,NARROW,1,0,32,9,2,8,2,30,2,45,8,Female,27,10,13,242,222,10,20,8,5360,28,2019-12-21T08:34:00Z,0.25
373,Scenario1,NARROW,7,0,1,8,NA,4.25,1,0,1,15,4,Male,35,6,7,10,85,6,15,3,528,14,2019-12-21T08:34:00Z,1.75
373,Scenario2,NARROW,13,0,1,8,NA,4.25,1,0,1,15,4,Male,35,6,7,10,85,6,15,3,528,14,2019-12-21T08:34:00Z,3.25
374,Scenario1,NARROW,2,5,2,10,2,4.5,2,15,1,30,4.5,NA,NA,NA,3,7,246,5,9,NA,NA,16,2019-12-21T08:34:00Z,0.5
374,Scenario2,NARROW,2,7,2,10,2,4.5,2,15,1,30,4.5,NA,NA,NA,3,7,246,5,9,NA,NA,16,2019-12-21T08:34:00Z,0.5
375,Scenario1,NARROW,5,0,3,9,2,4.75,1,0,1,15,4,Female,29,6,21,66,128,10,62,8,605,22,2019-12-21T08:34:00Z,1.25
375,Scenario2,NARROW,8,0,3,9,2,4.75,1,0,1,15,4,Female,29,6,21,66,128,10,62,8,605,22,2019-12-21T08:34:00Z,2
376,Scenario1,NARROW,10,0,4,8,1,5,1,0,1,15,4,Female,30,6,148,22,107,8,25,5,509,18,2019-12-21T08:34:00Z,2.5
376,Scenario2,NARROW,8,0,4,8,1,5,1,0,1,15,4,Female,30,6,148,22,107,8,25,5,509,18,2019-12-21T08:34:00Z,2
377,Scenario1,NARROW,1,0,5,9,NA,5.25,2,15,1,30,5.25,Female,61,7.25,30,50,179,11,26,8,1526,14,2019-12-21T08:34:00Z,0.25
377,Scenario2,NARROW,1,0,5,9,NA,5.25,2,15,1,30,5.25,Female,61,7.25,30,50,179,11,26,8,1526,14,2019-12-21T08:34:00Z,0.25
378,Scenario1,NARROW,17,0,6,8,1,5.5,1,0,1,15,4,Female,57,6,6,54,140,13,32,7,766,25,2019-12-21T08:34:00Z,4.25
378,Scenario2,NARROW,17,0,6,8,1,5.5,1,0,1,15,4,Female,57,6,6,54,140,13,32,7,766,25,2019-12-21T08:34:00Z,4.25
379,Scenario1,LOW,17,0,1,5,1,4.25,1,0,1,0,4,Female,25,6,17,7,239,5,28,6,4,10,2019-12-23T18:34:00Z,4.25
379,Scenario2,LOW,17,0,1,5,1,4.25,1,0,1,0,4,Female,25,6,17,7,239,5,28,6,4,10,2019-12-23T18:34:00Z,4.25
380,Scenario1,LOW,8,0,2,9,2,4.5,1,0,1,0,4,Male,40,6,12,23,103,8,22,7,6,15,2019-12-23T18:34:00Z,2
380,Scenario2,LOW,8,0,2,9,2,4.5,1,0,1,0,4,Male,40,6,12,23,103,8,22,7,6,15,2019-12-23T18:34:00Z,2
381,Scenario1,LOW,1,0,3,9,2,4.75,2,15,1,15,4.75,Female,29,6.75,12,33,117,5,4,6,526,10,2019-12-23T18:34:00Z,0.25
381,Scenario2,LOW,1,0,3,9,2,4.75,2,15,1,15,4.75,Female,29,6.75,12,33,117,5,4,6,526,10,2019-12-23T18:34:00Z,0.25
382,Scenario1,LOW,12,0,4,7,1,5,1,0,1,0,4,Female,33,6,11,15,109,7,12,10,3,15,2019-12-23T18:34:00Z,3
382,Scenario2,LOW,12,0,4,7,1,5,1,0,1,0,4,Female,33,6,11,15,109,7,12,10,3,15,2019-12-23T18:34:00Z,3
383,Scenario1,LOW,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,33,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
383,Scenario2,LOW,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,33,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
384,Scenario1,LOW,12,0,6,10,1,5.5,1,0,1,0,4,Male,39,6,3,18,63,5,15,4,2,10,2019-12-23T18:34:00Z,3
384,Scenario2,LOW,15,0,6,10,1,5.5,1,0,1,0,4,Male,39,6,3,18,63,5,15,4,2,10,2019-12-23T18:34:00Z,3.75
385,Scenario1,LOW,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
385,Scenario2,LOW,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
386,Scenario1,LOW,4,0,8,8,2,6,2,15,1,15,6,Female,33,8,20,64,123,9,30,8,598,35,2019-12-23T18:34:00Z,1
386,Scenario2,LOW,8,0,8,8,2,6,2,15,1,15,6,Female,33,8,20,64,123,9,30,8,598,35,2019-12-23T18:34:00Z,2
387,Scenario1,LOW,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
387,Scenario2,LOW,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
388,Scenario1,LOW,16,0,10,10,NA,6.5,1,0,1,0,4,Male,63,6,15,67,147,16,45,16,7,23,2019-12-23T18:34:00Z,4
388,Scenario2,LOW,17,0,10,10,NA,6.5,1,0,1,0,4,Male,63,6,15,67,147,16,45,16,7,23,2019-12-23T18:34:00Z,4.25
389,Scenario1,LOW,2,4,11,6,1,6.75,2,15,1,15,6.75,Male,36,8.75,5,8,111,5,34,6,463,17,2019-12-23T18:34:00Z,0.5
389,Scenario2,LOW,3,3,11,6,1,6.75,2,15,1,15,6.75,Male,36,8.75,5,8,111,5,34,6,463,17,2019-12-23T18:34:00Z,0.75
390,Scenario1,LOW,2,6,12,10,NA,7,2,15,1,15,7,Female,30,9,6,7,310,4,5,6,1484,9,2019-12-23T18:34:00Z,0.5
390,Scenario2,LOW,2,7,12,10,NA,7,2,15,1,15,7,Female,30,9,6,7,310,4,5,6,1484,9,2019-12-23T18:34:00Z,0.5
391,Scenario1,LOW,4,0,13,10,2,7.25,2,15,1,15,7.25,Male,59,9.25,35,71,199,17,56,20,973,40,2019-12-23T18:34:00Z,1
391,Scenario2,LOW,8,0,13,10,2,7.25,2,15,1,15,7.25,Male,59,9.25,35,71,199,17,56,20,973,40,2019-12-23T18:34:00Z,2
392,Scenario1,LOW,11,0,14,6,2,7.5,2,15,1,15,7.5,Male,49,9.5,8,159,174,9,22,8,1260,23,2019-12-23T18:34:00Z,2.75
392,Scenario2,LOW,15,0,14,6,2,7.5,2,15,1,15,7.5,Male,49,9.5,8,159,174,9,22,8,1260,23,2019-12-23T18:34:00Z,3.75
393,Scenario1,LOW,8,3,15,8,NA,7.75,2,15,1,15,7.75,Male,28,9.75,65,28,240,26,22,26,785,70,2019-12-23T18:34:00Z,2
393,Scenario2,LOW,2,5,15,8,NA,7.75,2,15,1,15,7.75,Male,28,9.75,65,28,240,26,22,26,785,70,2019-12-23T18:34:00Z,0.5
394,Scenario1,LOW,8,0,16,6,1,8,2,15,1,15,8,NA,NA,NA,4,21,233,6,21,NA,NA,8,2019-12-23T18:34:00Z,2
394,Scenario2,LOW,15,0,16,6,1,8,2,15,1,15,8,NA,NA,NA,4,21,233,6,21,NA,NA,8,2019-12-23T18:34:00Z,3.75
395,Scenario1,LOW,8,1,17,9,NA,4.25,1,15,2,15,4,Female,72,6,16,40,558,16,31,17,2117,36,2019-12-23T18:34:00Z,2
395,Scenario2,LOW,17,0,17,9,NA,4.25,1,15,2,15,4,Female,72,6,16,40,558,16,31,17,2117,36,2019-12-23T18:34:00Z,4.25
396,Scenario1,LOW,12,0,18,7,NA,4.5,1,15,2,15,4,Male,45,6,13,39,123,12,56,7,410,13,2019-12-23T18:34:00Z,3
396,Scenario2,LOW,15,0,18,7,NA,4.5,1,15,2,15,4,Male,45,6,13,39,123,12,56,7,410,13,2019-12-23T18:34:00Z,3.75
397,Scenario1,LOW,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
397,Scenario2,LOW,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
398,Scenario1,LOW,17,0,21,10,NA,5.25,1,15,2,15,4,Female,40,6,108,23,387,8,26,8,1321,22,2019-12-23T18:34:00Z,4.25
398,Scenario2,LOW,17,0,21,10,NA,5.25,1,15,2,15,4,Female,40,6,108,23,387,8,26,8,1321,22,2019-12-23T18:34:00Z,4.25
399,Scenario1,LOW,4,0,22,7,NA,5.5,2,30,2,30,5.5,Male,44,7.5,21,66,137,19,42,8,1445,113,2019-12-23T18:34:00Z,1
399,Scenario2,LOW,5,0,22,7,NA,5.5,2,30,2,30,5.5,Male,44,7.5,21,66,137,19,42,8,1445,113,2019-12-23T18:34:00Z,1.25
400,Scenario1,LOW,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
400,Scenario2,LOW,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
401,Scenario1,LOW,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,58,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
401,Scenario2,LOW,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,58,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z,NA
402,Scenario1,LOW,17,0,27,3,1,6.75,1,15,2,15,4,NA,NA,NA,9,15,121,11,14,NA,NA,16,2019-12-23T18:34:00Z,4.25
402,Scenario2,LOW,17,0,27,3,1,6.75,1,15,2,15,4,NA,NA,NA,9,15,121,11,14,NA,NA,16,2019-12-23T18:34:00Z,4.25
403,Scenario1,LOW,8,0,28,9,1,7,2,30,2,30,7,Male,28,9,4,15,156,9,13,6,1233,20,2019-12-23T18:34:00Z,2
403,Scenario2,LOW,8,0,28,9,1,7,2,30,2,30,7,Male,28,9,4,15,156,9,13,6,1233,20,2019-12-23T18:34:00Z,2
404,Scenario1,LOW,1,7,29,8,1,7.25,1,15,2,15,4,Male,28,6,9,433,176,8,25,11,981,50,2019-12-23T18:34:00Z,0.25
404,Scenario2,LOW,2,6,29,8,1,7.25,1,15,2,15,4,Male,28,6,9,433,176,8,25,11,981,50,2019-12-23T18:34:00Z,0.5
405,Scenario1,LOW,1,4,30,10,1,7.5,2,30,2,30,7.5,Female,25,9.5,12,79,117,10,44,5,1124,30,2019-12-23T18:34:00Z,0.25
405,Scenario2,LOW,12,0,30,10,1,7.5,2,30,2,30,7.5,Female,25,9.5,12,79,117,10,44,5,1124,30,2019-12-23T18:34:00Z,3
406,Scenario1,LOW,4,0,31,9,NA,7.75,2,30,2,30,7.75,Female,34,9.75,9,17,95,11,28,6,833,21,2019-12-23T18:34:00Z,1
406,Scenario2,LOW,6,0,31,9,NA,7.75,2,30,2,30,7.75,Female,34,9.75,9,17,95,11,28,6,833,21,2019-12-23T18:34:00Z,1.5
407,Scenario1,LOW,1,0,32,6,2,8,2,30,2,30,8,Female,25,10,4,43,149,22,40,9,1367,22,2019-12-23T18:34:00Z,0.25
407,Scenario2,LOW,8,0,32,6,2,8,2,30,2,30,8,Female,25,10,4,43,149,22,40,9,1367,22,2019-12-23T18:34:00Z,2
408,Scenario1,LOW,4,0,1,8,2,4.25,1,0,1,0,4,Female,43,6,8,44,96,19,26,9,3,15,2019-12-23T18:34:00Z,1
408,Scenario2,LOW,4,0,1,8,2,4.25,1,0,1,0,4,Female,43,6,8,44,96,19,26,9,3,15,2019-12-23T18:34:00Z,1
409,Scenario1,LOW,6,0,2,6,1,4.5,1,0,1,0,4,Male,27,6,9,43,125,7,32,5,4,12,2019-12-23T18:34:00Z,1.5
409,Scenario2,LOW,8,0,2,6,1,4.5,1,0,1,0,4,Male,27,6,9,43,125,7,32,5,4,12,2019-12-23T18:34:00Z,2
410,Scenario1,LOW,6,0,3,9,2,4.75,1,0,1,0,4,Male,45,6,21,341,315,16,60,19,8,36,2019-12-23T18:34:00Z,1.5
410,Scenario2,LOW,14,0,3,9,2,4.75,1,0,1,0,4,Male,45,6,21,341,315,16,60,19,8,36,2019-12-23T18:34:00Z,3.5
411,Scenario1,LOW,1,0,4,10,2,5,2,15,1,15,5,Male,27,7,9,20,302,9,11,22,780,11,2019-12-23T18:34:00Z,0.25
411,Scenario2,LOW,1,0,4,10,2,5,2,15,1,15,5,Male,27,7,9,20,302,9,11,22,780,11,2019-12-23T18:34:00Z,0.25
412,Scenario1,LOW,17,0,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,96,5,16,NA,NA,NA,2019-12-23T18:34:00Z,4.25
412,Scenario2,LOW,NA,0,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,96,5,16,NA,NA,NA,2019-12-23T18:34:00Z,NA
413,Scenario1,LOW,2,6,6,8,2,5.5,2,15,1,15,5.5,Male,28,7.5,41,39,273,13,49,8,1825,51,2019-12-23T18:34:00Z,0.5
413,Scenario2,LOW,2,7,6,8,2,5.5,2,15,1,15,5.5,Male,28,7.5,41,39,273,13,49,8,1825,51,2019-12-23T18:34:00Z,0.5
414,Scenario1,LOW,1,7,7,6,NA,5.75,2,15,1,15,5.75,Male,27,7.75,9,18,187,7,5,9,574,10,2019-12-23T18:34:00Z,0.25
414,Scenario2,LOW,2,7,7,6,NA,5.75,2,15,1,15,5.75,Male,27,7.75,9,18,187,7,5,9,574,10,2019-12-23T18:34:00Z,0.5
415,Scenario1,LOW,8,0,8,8,2,6,2,15,1,15,6,Male,27,8,17,20,76,9,33,6,434,15,2019-12-23T18:34:00Z,2
415,Scenario2,LOW,8,0,8,8,2,6,2,15,1,15,6,Male,27,8,17,20,76,9,33,6,434,15,2019-12-23T18:34:00Z,2
416,Scenario1,LOW,6,0,9,3,2,6.25,2,15,1,15,6.25,Male,56,8.25,16,91,202,68,58,10,710,82,2019-12-23T18:34:00Z,1.5
416,Scenario2,LOW,7,0,9,3,2,6.25,2,15,1,15,6.25,Male,56,8.25,16,91,202,68,58,10,710,82,2019-12-23T18:34:00Z,1.75
417,Scenario1,LOW,16,0,10,10,NA,6.5,1,0,1,0,4,Female,30,6,588,16,406,10,63,8,8,22,2019-12-23T18:34:00Z,4
417,Scenario2,LOW,17,0,10,10,NA,6.5,1,0,1,0,4,Female,30,6,588,16,406,10,63,8,8,22,2019-12-23T18:34:00Z,4.25
